Experiment,Average_Response_Time,Throughput
low_low_1.csv,0.0670833932422708,7.733891892192214
low_low_2.csv,0.010502861230328992,7.769287158184685
low_low_3.csv,0.016624463519313525,7.770754413055312
low_low_4.csv,0.01575968436154969,7.748794631946142
low_low_5.csv,0.010722460658082899,7.772481304932387
low_medium_1.csv,0.02102932761087282,7.772438123281202
low_medium_2.csv,0.01434263233190266,7.773301847478817
low_medium_3.csv,0.01659942775393422,7.772438123281202
low_medium_4.csv,0.012823319027181635,7.772438123281202
low_medium_5.csv,0.015211731044349041,7.771574591006305
low_high_1.csv,0.020949928469241628,7.772438123281202
low_high_2.csv,0.16168383404864015,7.771574591006305
low_high_3.csv,0.03918741058655282,7.772394942109824
low_high_4.csv,0.25692060085836854,7.771660935599096
low_high_5.csv,0.08573319027181739,7.772481304932387
medium_low_1.csv,0.011687158966897317,15.277013927081425
medium_low_2.csv,0.014476329206118223,15.258652772608858
medium_low_3.csv,0.014090214623499657,15.277523152391906
medium_low_4.csv,0.023090411957710597,15.241988790694833
medium_low_5.csv,0.012237904692615684,15.278711476812472
medium_medium_1.csv,0.014768643142961259,15.279815086455972
medium_medium_2.csv,0.048028384279476075,15.271373812565969
medium_medium_3.csv,0.05878384279475969,15.271543486956135
medium_medium_4.csv,0.014518006547835733,15.279305708348613
medium_medium_5.csv,0.038579119679883776,15.277013927081425
medium_high_1.csv,0.6635227355401979,15.269803547036549
medium_high_2.csv,0.365927947598254,15.271543486956135
medium_high_3.csv,0.8998022869789726,15.06248264371008
medium_high_4.csv,0.032009457984721955,15.269633972992182
medium_high_5.csv,0.02234085121862524,15.278796364202059
high_low_1.csv,0.01512236608276239,21.88487666150095
high_low_2.csv,0.01524797365754824,21.93267463107675
high_low_3.csv,0.016260704332404514,21.93321148215843
high_low_4.csv,0.020161298503677788,21.909407046118634
high_low_5.csv,0.025032192648923025,21.921247944535796
high_medium_1.csv,0.026933214829863432,21.881509874177155
high_medium_2.csv,0.0526447768762672,21.911919084198423
high_medium_3.csv,0.10274866852650219,21.91038076508561
high_medium_4.csv,0.08744785587414271,21.89768857731684
high_medium_5.csv,0.04878059285533206,21.93260224659178
high_high_1.csv,2.15383207490184,18.4007155833838
high_high_2.csv,1.9214403953057453,18.004346835203805
high_high_3.csv,2.7062341090656465,16.007470152737945
high_high_4.csv,3.0661049404976524,15.412224216193392
high_high_5.csv,3.103372499090578,15.284655872920592
