CTT,Pagine,Y
450,50k,0.0670833932422708
450,50k,0.010502861230328992
450,50k,0.016624463519313525
450,50k,0.01575968436154969
450,50k,0.010722460658082899
450,150k,0.02102932761087282
450,150k,0.01434263233190266
450,150k,0.01659942775393422
450,150k,0.012823319027181635
450,150k,0.015211731044349041
450,500k,0.020949928469241628
450,500k,0.16168383404864015
450,500k,0.03918741058655282
450,500k,0.25692060085836854
450,500k,0.08573319027181739
900,50k,0.011687158966897317
900,50k,0.014476329206118223
900,50k,0.014090214623499657
900,50k,0.023090411957710597
900,50k,0.012237904692615684
900,150k,0.014768643142961259
900,150k,0.048028384279476075
900,150k,0.05878384279475969
900,150k,0.014518006547835733
900,150k,0.038579119679883776
900,500k,0.6635227355401979
900,500k,0.365927947598254
900,500k,0.8998022869789726
900,500k,0.032009457984721955
900,500k,0.02234085121862524
1350,50k,0.01512236608276239
1350,50k,0.01524797365754824
1350,50k,0.016260704332404514
1350,50k,0.020161298503677788
1350,50k,0.025032192648923025
1350,150k,0.026933214829863432
1350,150k,0.0526447768762672
1350,150k,0.10274866852650219
1350,150k,0.08744785587414271
1350,150k,0.04878059285533206
1350,500k,2.15383207490184
1350,500k,1.9214403953057453
1350,500k,2.7062341090656465
1350,500k,3.0661049404976524
1350,500k,3.103372499090578
